Ano,Pedestre,Ciclista,MotoCiclista,Automovel
2001,9720.00,1008.00,3100.00,6642.00
2002,9947.00,1240.00,3744.00,7199.00
2003,9991.00,1263.00,4271.00,7387.00
2004,10166.00,1389.00,5042.00,8387.00
2005,10320.00,1523.00,5974.00,8239.00
2006,10147.00,1668.00,7162.00,8924.00
2007,9657.00,1649.00,8078.00,9223.00
2008,9474.00,1615.00,8898.00,9284.00
2009,8799.00,1573.00,9268.00,9368.00
2010,9944.00,1513.00,10825.00,10341.00
2011,9244.00,1475.00,11433.00,11154.00
2012,8819.00,1492.00,12544.00,10154.00
2013,8220.00,1348.00,12040.00,9757.00
2014,8082.00,1357.00,12652.00,10084.00
2015,8082.00,1357.00,12652.00,8590.00
