Ano,Atendimento aos munícipes,Diárias de Viagens,Gasolina/Álcool (Litros),Gasolina/Álcool (R$),Impressão Colorida,Manutenção de Veículos,Material de Escritório,Mês,Telefonia Fixa,Telefonia Móvel,Vereador,Xerox (Central),Xerox (Duplicadora),Xerox (Gabinete)
2018,64,0,87342,353.3,277,0,531.83,Agosto,202.61,101.17,Abner de Madureira,0,0,2043
2018,220,0,43331,175.27,223,320,70.85,Agosto,52.69,38.93,Aderbal           Sodré,257,0,2474
2018,84,0,127971,517.64,190,570,602.86,Agosto,149.37,9.74,Arildo             Batista,0,0,1425
2018,125,0,39000,157.76,289,946,470.94,Agosto,88.8,12.32,Dra. Márcia Santos,0,0,780
2018,68,0,0,0,399,40,42,Agosto,54.78,7.51,Dr. Rodrigo Salomon,114,0,1920
2018,200,0,50041,202.42,194,0,538.35,Agosto,177.77,103.81,Fernando da Ótica Original,962,0,2210
2018,58,66,146.31,591.82,211,0,529.86,Agosto,94.15,9.57,Juarez           Araújo,76,0,1991
2018,206,0,135.782,549.24,361,275,72.29,Agosto,169.76,112.31,Lucimar       Ponciano,410,0,1921
2018,103,0,0,0,196,0,495.9,Agosto,180.83,0.41,Luís Flávio,0,0,1314
2018,207,0,79.99,323.56,190,0,711.85,Agosto,171.88,71.29,Paulinho do Esporte,80,0,1977
2018,337,0,140.61,568.77,557,0,556.75,Agosto,314.59,11.99,Paulinho dos Condutores,209,0,1437
2018,125,33,40.47,163.7,570,610,492.86,Agosto,299.57,17.5,Sônia Patas          da Amizade,117,0,771
2018,468,0,148.78,601.82,457,0,519.6,Agosto,114.39,45.13,Valmir do Pq.   Meia Lua,1000,0,3189
