Ano,Atendimento aos munícipes,Diárias de Viagens,Gasolina/Álcool (Litros),Gasolina/Álcool (R$),Impressão Colorida,Manutenção de Veículos,Material de Escritório,Mês,Telefonia Fixa,Telefonia Móvel,Vereador,Xerox (Central),Xerox (Duplicadora),Xerox (Gabinete)
2018,43,0,44989,188.68,293,40,32.97,Julho,130.65,58.89,Abner de Madureira,0,0,1659
2018,182,0,72278,303.13,279,50,105,Julho,34.74,16.95,Aderbal           Sodré,0,0,1635
2018,70,0,62.91,263.84,228,40,73.32,Julho,57.17,14.5,Arildo             Batista,242,0,763
2018,86,0,42611,178.71,265,40,93.42,Julho,82.09,8.66,Dra. Márcia Santos,0,0,424
2018,65,0,41931,175.86,251,0,22.61,Julho,91.46,11.5,Dr. Rodrigo Salomon,346,0,360
2018,97,0,48121,201.82,247,0,44.08,Julho,52.94,58.71,Fernando da Ótica Original,972,0,850
2018,47,0,130118,545.71,282,120,62.05,Julho,69.62,8.73,Juarez           Araújo,0,0,640
2018,143,0,94.54,396.5,646,80,55.33,Julho,118.11,26.34,Lucimar       Ponciano,694,0,1403
2018,45,0,33.43,140.21,274,0,28.58,Julho,100.49,1.56,Luís Flávio,0,0,671
2018,145,0,88779,372.34,247,40,165.4,Julho,112.35,30.34,Paulinho do Esporte,370,0,1213
2018,241,0,91551,383.96,615,714,68.71,Julho,111.28,8.6,Paulinho dos Condutores,168,0,1168
2018,109,0,0,0,150,135,50.56,Julho,243.16,5.92,Sônia Patas          da Amizade,0,0,389
2018,388,0,198942,834.36,212,0,74.94,Julho,95.28,20.87,Valmir do Pq.   Meia Lua,1000,0,3551
